date,AAPL
2013-07-01,53.10917319210857
2013-07-02,54.31224741988544
2013-07-03,54.61204261580394
2013-07-05,54.17338124688422
2013-07-08,53.86579916276005
2013-07-09,54.81320389445057
2013-07-10,54.60295791289733
2013-07-11,55.45406479377765
2013-07-12,55.35309481004406
2013-07-15,55.47379157723203
2013-07-18,56.03418796510047
2013-07-19,55.1506357166965
2013-07-22,55.327138516025144
2013-07-23,54.377138154932744
2013-07-24,57.170035391368344
2013-07-25,56.90917463647821
2013-07-26,57.23233049701374
2013-07-29,58.11484449365696
2013-07-30,58.83253602328005
2013-07-31,58.730008661905316
2013-08-01,59.2680826369175
2013-08-02,60.02912117755218
2013-08-05,60.9259111359058
2013-08-06,60.38082896150852
2013-08-07,60.345787964582975
2013-08-08,60.22638901209596
2013-08-09,59.36939000574175
2013-08-12,61.05595359903942
2013-08-13,63.95747005195509
2013-08-14,65.12408607737322
2013-08-15,65.04700842283833
2013-08-16,65.62443763138795
2013-08-19,66.33120053144529
2013-08-20,65.45983111492357
2013-08-21,65.62835683416091
2013-08-22,65.70674088962014
2013-08-23,65.45329911030197
2013-08-26,65.70804729054446
2013-08-27,63.82944276137168
2013-08-28,64.13069881451997
2013-08-29,64.23573344883532
2013-08-30,63.64994327437006
2013-09-03,63.82813636044736
2013-09-04,65.14903833502774
2013-09-05,64.70211857881773
2013-09-06,65.08750685149226
2013-09-09,66.126095586327
2013-09-10,64.61981532058553
2013-09-11,61.101677631390636
2013-09-12,61.75226529170222
2013-09-13,60.734578971656596
2013-09-16,58.803718405511006
2013-09-17,59.48304688615764
2013-09-18,60.70583815132154
2013-09-19,61.701315655653715
2013-09-20,61.062485603661024
2013-09-23,64.09725495085738
2013-09-24,63.89606920851203
2013-09-25,62.90712370880146
2013-09-26,63.51982574230775
2013-09-27,63.06650462156856
2013-09-30,62.2826640669763
2013-10-01,63.74713950313949
2013-10-02,63.95616365103077
2013-10-03,63.1527270825737
2013-10-04,63.10308384744953
2013-10-07,63.71970508372877
2013-10-08,62.83004605426657
2013-10-09,63.567901296322745
2013-10-10,63.96635357824047
2013-10-11,64.38100523161978
2013-10-14,64.80271144999041
2013-10-15,65.147601294011
2013-10-16,65.46557927899059
2013-10-17,65.90792663196548
2013-10-18,66.48143663774215
2013-10-21,68.11077987055458
2013-10-22,67.91553825241489
2013-10-23,68.58082292312507
2013-10-24,69.48877156552777
2013-10-25,68.71120173537224
2013-10-28,69.22304961752099
2013-10-29,67.4988616776029
2013-10-30,68.57246195720941
2013-10-31,68.28583759441352
2013-11-01,67.9367672674351
2013-11-04,68.81466868857844
2013-11-05,68.64470592832434
2013-11-06,68.45148923161734
2013-11-07,67.34400794611464
2013-11-08,68.40418343394518
2013-11-11,68.20549908372212
2013-11-12,68.3319106875016
2013-11-13,68.4139074034667
2013-11-14,69.40286138480192
2013-11-15,68.98643896029337
2013-11-18,68.15044039143146
2013-11-19,68.27146439047607
2013-11-20,67.67357166989737
2013-11-21,68.47987271022065
2013-11-22,68.3043156388595
2013-11-25,68.82205131338262
2013-11-26,70.09142355091893
2013-11-27,71.74187026970324
2013-11-29,73.07037475432978
2013-12-02,72.43437458562627
2013-12-03,74.4175387480381
2013-12-04,74.24382134658644
2013-12-05,74.62502723282792
2013-12-06,73.5894244787882
2013-12-09,74.43173048733973
2013-12-10,74.31609409303
2013-12-11,73.76550717012347
2013-12-12,73.65775507542577
2013-12-13,72.85487056493436
2013-12-16,73.25828389508307
2013-12-17,72.92845736131329
2013-12-18,72.37392828860072
2013-12-19,71.54476277940256
2013-12-20,72.14396954991659
2013-12-23,74.91267276367337
2013-12-24,74.59467267932162
2013-12-26,74.09927585369927
2013-12-27,73.59862282833556
2013-12-30,72.86669701435241
2013-12-31,73.72082947232198
2014-01-02,72.68404407334043
2014-01-03,71.087473401905
2014-01-06,71.47511813282965
2014-01-07,70.96362419549942
2014-01-08,71.41335778586878
2014-01-09,70.5012757257508
2014-01-10,70.0309772538934
2014-01-13,70.39759718585265
2014-01-14,71.79837441692275
2014-01-15,73.23988719598835
2014-01-16,72.83121766609828
2014-01-17,71.04673785390953
2014-01-21,72.15053979959329
2014-01-22,72.47116798381572
2014-01-23,73.08482930361849
2014-01-24,71.75632481899196
2014-01-27,72.33844894034661
2014-01-28,66.55662922486023
2014-01-29,65.801050512041
2014-01-30,65.67385047830028
2014-01-31,65.78133976301092
2014-02-03,65.90354640699735
2014-02-04,66.85754666005259
2014-02-05,67.35688563548096
2014-02-06,67.74715846627629
2014-02-07,68.6949392436332
2014-02-10,69.92560019721661
2014-02-11,70.8469435749262
2014-02-12,70.84165609499674
2014-02-13,71.96656744999079
2014-02-14,71.90840517076668
2014-02-18,72.17277916724002
2014-02-19,71.03332724243992
2014-02-20,70.21112411340782
2014-02-21,69.43122082381146
2014-02-24,69.7352509197558
2014-02-25,69.00954429943647
2014-02-26,68.38694353774177
2014-02-27,69.7511133595442
2014-02-28,69.56208595206577
2014-03-03,69.76301018938551
2014-03-04,70.22302094324913
2014-03-05,70.37107038127421
2014-03-06,70.15824931411316
2014-03-07,70.1172713446598
2014-03-10,70.18072110381338
2014-03-11,70.86412788469698
2014-03-12,70.93286512378005
2014-03-13,70.14503061428947
2014-03-14,69.35719610479893
2014-03-17,69.62817945118411
2014-03-18,70.244170862967
2014-03-19,70.22566468321386
2014-03-20,69.88726596772797
2014-03-21,70.43848575037491
2014-03-24,71.27390757923067
2014-03-25,72.04059216900335
2014-03-26,71.3518979081903
2014-03-27,71.04522407228124
2014-03-28,70.96591187333921
